iter	Passed	Remaining
476	627	687
477	628	685
478	629	684
479	630	682
480	630	680
481	631	679
482	632	677
483	633	675
484	634	673
485	635	671
486	636	669
487	636	668
488	637	666
489	638	664
490	639	663
491	640	661
492	641	659
493	642	657
494	643	656
495	644	654
496	645	653
497	646	651
498	647	649
499	647	647
500	648	646
501	649	644
502	650	642
503	651	640
504	652	639
505	653	637
506	653	635
507	654	634
508	655	632
509	656	630
510	657	629
511	658	627
512	659	626
513	660	624
514	661	622
515	662	621
516	662	619
517	663	617
518	664	616
519	665	614
520	666	612
521	667	611
522	668	609
523	668	607
524	669	605
525	670	604
526	671	602
527	672	601
528	673	599
529	674	598
530	675	596
531	676	595
532	677	593
533	678	591
534	678	590
535	679	588
536	681	587
537	682	586
538	683	584
539	684	583
540	685	581
541	686	580
542	687	578
543	689	577
544	690	576
545	690	574
546	691	572
547	692	571
548	693	569
549	694	568
550	695	566
551	696	565
552	697	563
553	698	562
554	699	560
555	700	559
556	700	557
557	701	556
558	703	554
559	704	553
560	705	551
561	705	550
562	706	548
563	707	547
564	708	545
565	709	544
566	710	542
567	711	541
568	712	539
569	713	538
570	714	536
571	715	535
572	715	533
573	716	532
574	717	530
575	719	529
576	719	527
577	720	526
578	721	524
579	722	523
580	723	521
581	724	520
582	725	518
583	726	517
584	726	515
585	727	514
586	728	512
587	729	511
588	730	509
589	731	508
590	732	506
591	733	505
592	734	503
593	735	502
594	735	500
595	736	499
596	737	497
597	738	496
598	739	494
599	740	493
600	740	491
601	741	490
602	742	488
603	743	487
604	744	485
605	744	484
606	745	482
607	746	481
608	747	480
609	748	478
610	749	477
611	750	475
612	751	474
613	751	472
614	752	471
615	753	469
616	754	468
617	755	466
618	756	465
619	757	464
620	757	462
621	758	461
622	759	459
623	760	458
624	761	456
625	762	455
626	763	454
627	764	452
628	765	451
629	766	449
630	766	448
631	767	446
632	768	445
633	769	444
634	770	442
635	770	441
636	771	439
637	772	438
638	773	436
639	774	435
640	775	434
641	776	432
642	777	431
643	778	430
644	779	428
645	780	427
646	780	426
647	781	424
648	782	423
649	783	421
650	784	420
651	785	419
652	785	417
653	786	416
654	787	414
655	788	413
656	789	412
657	790	410
658	791	409
659	792	408
660	793	406
661	794	405
662	795	404
663	796	402
664	796	401
665	797	400
666	798	398
667	799	397
668	800	395
669	801	394
670	801	393
671	802	391
672	803	390
673	804	389
674	805	387
675	806	386
676	807	385
677	808	384
678	809	382
679	810	381
680	811	379
681	812	378
682	812	377
683	813	376
684	814	374
685	815	373
686	816	371
687	817	370
688	818	369
689	818	367
690	819	366
691	820	365
692	821	364
693	822	362
694	823	361
695	824	360
696	825	358
697	826	357
698	827	356
699	828	354
700	828	353
701	829	352
702	830	350
703	831	349
704	832	348
705	833	346
706	834	345
707	835	344
708	836	343
709	837	341
710	838	340
711	838	339
712	839	337
713	840	336
714	841	335
715	842	334
716	843	332
717	843	331
718	844	330
719	845	328
720	846	327
721	847	326
722	848	324
723	849	323
724	850	322
725	851	321
726	852	320
727	853	318
728	853	317
729	854	316
730	855	314
731	856	313
732	857	312
733	858	310
734	858	309
735	859	308
736	860	307
737	861	305
738	862	304
739	863	303
740	864	302
741	865	300
742	866	299
743	867	298
744	868	297
745	868	295
746	869	294
747	870	293
748	871	292
749	872	290
750	873	289
751	873	288
752	874	286
753	875	285
754	876	284
755	877	283
756	878	281
757	878	280
758	879	279
759	881	278
760	882	277
761	882	275
762	883	274
763	885	273
764	885	272
765	886	270
766	887	269
767	888	268
768	889	267
769	890	265
770	890	264
771	891	263
772	892	262
773	893	260
774	894	259
775	895	258
776	896	257
777	897	256
778	898	255
779	899	253
780	900	252
781	901	251
782	902	250
783	903	248
784	904	247
785	905	246
786	906	245
787	907	244
788	908	242
789	909	241
790	910	240
791	912	239
792	914	238
793	915	237
794	916	236
795	917	235
796	918	233
797	919	232
798	920	231
799	921	230
800	922	229
801	923	228
802	924	226
803	926	225
804	927	224
805	928	223
806	929	222
807	930	221
808	931	219
809	932	218
810	933	217
811	934	216
812	934	215
813	935	213
814	936	212
815	937	211
816	938	210
817	940	209
818	940	207
819	942	206
820	943	205
821	944	204
822	944	203
823	945	202
824	946	200
825	947	199
826	948	198
827	949	197
828	951	196
829	952	195
830	954	194
831	955	192
832	956	191
833	957	190
834	958	189
835	959	188
836	960	186
837	961	185
838	961	184
839	962	183
840	963	182
841	964	181
842	965	179
843	966	178
844	967	177
845	968	176
846	970	175
847	971	174
848	971	172
849	972	171
850	974	170
851	975	169
852	975	168
853	976	166
854	977	165
855	978	164
856	979	163
857	980	162
858	981	161
859	982	159
860	984	158
861	985	157
862	987	156
863	988	155
864	989	154
865	990	153
866	990	152
867	991	150
868	992	149
869	993	148
870	994	147
871	995	146
872	996	144
873	997	143
874	998	142
875	999	141
876	1000	140
877	1002	139
878	1003	138
879	1004	136
880	1005	135
881	1006	134
882	1007	133
883	1008	132
884	1009	131
885	1010	129
886	1010	128
887	1011	127
888	1013	126
889	1014	125
890	1015	124
891	1016	123
892	1017	121
893	1018	120
894	1019	119
895	1020	118
896	1021	117
897	1022	116
898	1022	114
899	1023	113
900	1024	112
901	1025	111
902	1026	110
903	1027	109
904	1028	108
905	1029	106
906	1031	105
907	1032	104
908	1033	103
909	1034	102
910	1035	101
911	1036	100
912	1037	98
913	1038	97
914	1039	96
915	1040	95
916	1041	94
917	1042	93
918	1043	92
919	1044	90
920	1045	89
921	1046	88
922	1047	87
923	1048	86
924	1049	85
925	1050	83
926	1050	82
927	1051	81
928	1052	80
929	1053	79
930	1054	78
931	1055	76
932	1056	75
933	1057	74
934	1058	73
935	1059	72
936	1060	71
937	1061	70
938	1061	68
939	1062	67
940	1063	66
941	1064	65
942	1065	64
943	1065	63
944	1066	62
945	1067	60
946	1068	59
947	1069	58
948	1070	57
949	1072	56
950	1073	55
951	1074	54
952	1075	53
953	1076	51
954	1077	50
955	1078	49
956	1079	48
957	1080	47
958	1081	46
959	1082	45
960	1083	43
961	1084	42
962	1085	41
963	1086	40
964	1087	39
965	1088	38
966	1089	37
967	1090	36
968	1091	34
969	1092	33
970	1093	32
971	1094	31
972	1095	30
973	1095	29
974	1096	28
975	1097	26
976	1098	25
977	1099	24
978	1100	23
979	1101	22
980	1102	21
981	1103	20
982	1104	19
983	1105	17
984	1106	16
985	1107	15
986	1108	14
987	1108	13
988	1109	12
989	1110	11
990	1111	10
991	1112	8
992	1113	7
993	1114	6
994	1115	5
995	1116	4
996	1117	3
997	1118	2
998	1119	1
999	1120	0
